Genus,Prevotella_tannerae_et_rel
S2,4.922401896
S2,4.417639999
S2,4.445603558
S2,5.395768309
S2,5.077411604
S2,4.834698319
S2,5.04605724
S2,4.606284978
S2,4.438791514
S2,4.91976619
S2,4.527057134
S2,4.970516522
S2,4.916737832
S2,4.560310524
S2,4.649824205
S2,4.805094771
S2,4.071588301
S2,4.667930346
S2,3.133204659
S2,4.17302149
S2,4.745713263
S2,4.199188998
S2,5.313253999
S2,4.762205282
S2,5.205180569
S2,4.754257474
S2,4.120997689
S2,4.44892143
S2,5.344501176
S2,4.837827674
S2,5.030221909
S2,4.476576328
S2,5.376948088
S2,5.081920439
S2,4.411121602
S2,4.834052999
S2,4.693155646
S2,4.054879998
S2,4.750563542
S2,4.615583259
S2,4.648621322
S2,4.088861394
S2,3.714419212
S2,5.059971155
S2,4.882027441
S2,3.176325411
S2,4.806286372
S2,3.922074359
S2,5.45126229
S2,3.471925608
S2,5.124437169
S2,4.508910906
S2,5.533539184
S2,4.985079778
S2,5.093211642
S2,4.10509311
S2,3.717368455
S2,5.008967327
S2,4.391647408
S2,3.700981996
S2,4.497506939
S2,4.874803006
S2,5.067898687
S2,4.001324562
S2,4.64015514
S2,3.800465706
S2,4.117976936
S2,3.794190431
S2,4.377816357
